time,X_1D,X_2D,Y_2D
0,0,0,0
3.05176e-05,3.75559e-05,-0.000201919,5.19828e-05
6.10352e-05,7.97771e-05,-0.000434037,6.67689e-05
9.15527e-05,0.000146394,-0.000686528,9.30885e-05
0.00012207,0.000160706,-0.00105511,6.5622e-05
0.000152588,0.000407123,-0.00131842,0.000184473
0.000183105,0.000503663,-0.00145222,0.000225915
0.000213623,0.000436543,-0.00171658,0.00027726
0.000244141,0.00052266,-0.00192636,0.000264824
0.000274658,0.000548224,-0.0020582,0.000351962
0.000305176,0.000635671,-0.00222701,0.000316073
0.000335693,0.000662887,-0.00241633,0.000401115
0.000366211,0.000649237,-0.0024687,0.000512982
0.000396729,0.000668625,-0.00269041,0.000637018
0.000427246,0.000836875,-0.00286209,0.000627624
0.000457764,0.000938715,-0.00306113,0.000677614
0.000488281,0.00109429,-0.00336754,0.000621997
0.000518799,0.00122753,-0.0034978,0.000818025
0.000549316,0.00124646,-0.00373632,0.00078733
0.000579834,0.00131624,-0.00385709,0.000951438
0.000610352,0.00127156,-0.00402932,0.000878845
0.000640869,0.00120693,-0.00404235,0.000971919
0.000671387,0.00108821,-0.00441714,0.000963226
0.000701904,0.0012277,-0.00473477,0.000782187
0.000732422,0.000988618,-0.00479276,0.000671936
0.000762939,0.000956824,-0.00515107,0.000783466
0.000793457,0.00119573,-0.00546227,0.000859026
0.000823975,0.00128144,-0.00577382,0.000888992
0.000854492,0.0014161,-0.00595622,0.00102289
0.00088501,0.00137883,-0.00610092,0.00104018
0.000915527,0.00147541,-0.00629144,0.00111944
0.000946045,0.00162303,-0.0062888,0.000993104
0.000976562,0.00172329,-0.00631779,0.0010809
0.00100708,0.00161289,-0.00655208,0.000967562
0.0010376,0.00146985,-0.00647739,0.000580807
0.00106812,0.00134844,-0.0066681,0.000745438
0.00109863,0.00154523,-0.00693703,0.000742688
0.00112915,0.00184754,-0.00710293,0.00093608
0.00115967,0.00206943,-0.00709245,0.000880501
0.00119019,0.00208239,-0.00732372,0.00123594
0.0012207,0.00227643,-0.00757916,0.00146066
0.00125122,0.00243209,-0.00752415,0.00120978
0.00128174,0.00256297,-0.0073377,0.00115317
0.00131226,0.00246481,-0.00738814,0.00123801
0.00134277,0.00250124,-0.0073181,0.001291
0.00137329,0.00254753,-0.00743034,0.00129586
0.00140381,0.00271707,-0.0073367,0.00165007
0.00143433,0.00260369,-0.0075035,0.0018625
0.00146484,0.00270072,-0.0077439,0.00197451
0.00149536,0.00295809,-0.00782533,0.0023943
0.00152588,0.0031403,-0.00797289,0.00285559
0.0015564,0.00319125,-0.0078964,0.0031129
0.00158691,0.00317474,-0.00820184,0.00356696
0.00161743,0.00330122,-0.00837713,0.00347201
0.00164795,0.00303837,-0.00868768,0.00364907
0.00167847,0.0030391,-0.00870114,0.00367059
0.00170898,0.00290205,-0.00857263,0.00389617
0.0017395,0.00284975,-0.00886178,0.00411268
0.00177002,0.00294199,-0.00923095,0.00415234
0.00180054,0.00331404,-0.00934283,0.00426001
0.00183105,0.00360468,-0.00925526,0.00396023
0.00186157,0.00353846,-0.00965801,0.00364895
0.00189209,0.00367505,-0.00994704,0.00340339
0.00192261,0.0039802,-0.0102355,0.00371962
0.00195312,0.00440093,-0.010268,0.00390066
0.00198364,0.00431084,-0.0103708,0.00374967
0.00201416,0.00448079,-0.0102586,0.00340128
0.00204468,0.00460296,-0.0102638,0.00337724
0.0020752,0.00494324,-0.0101275,0.0035044
0.00210571,0.00488783,-0.0102065,0.00337821
0.00213623,0.00497594,-0.0102708,0.0029843
0.00216675,0.0050475,-0.0101917,0.00294814
0.00219727,0.00513408,-0.010323,0.00300094
0.00222778,0.00523048,-0.0103999,0.00249156
0.0022583,0.00511362,-0.0106755,0.0030545
0.00228882,0.00525098,-0.0102625,0.0024243
0.00231934,0.00518695,-0.0101107,0.00242575
0.00234985,0.00500824,-0.010715,0.00238884
0.00238037,0.00456482,-0.01066,0.00230036
0.00241089,0.00439079,-0.0110895,0.002447
0.00244141,0.00488452,-0.0109672,0.00268207
0.00247192,0.00466582,-0.0106241,0.00336269
0.00250244,0.00500594,-0.0106777,0.00341393
0.00253296,0.00539159,-0.0107657,0.00333827
0.00256348,0.0053757,-0.0110009,0.00317235
0.00259399,0.00544898,-0.0114552,0.00280586
0.00262451,0.00537319,-0.0118459,0.00346053
0.00265503,0.00502602,-0.0122638,0.00352154
0.00268555,0.00474328,-0.0123527,0.00367138
0.00271606,0.00456376,-0.0119559,0.00357977
0.00274658,0.00471702,-0.0119973,0.00359853
0.0027771,0.00509838,-0.0120644,0.00350918
0.00280762,0.00503662,-0.0116432,0.00357673
0.00283813,0.00451863,-0.0117422,0.00343549
0.00286865,0.00449429,-0.0116816,0.00330864
0.00289917,0.00414178,-0.0116061,0.00387488
0.00292969,0.00395058,-0.0118555,0.00366393
0.00296021,0.00426256,-0.0127706,0.00332929
0.00299072,0.00424627,-0.0131711,0.00316105
0.00302124,0.00406501,-0.0125609,0.00286433
0.00305176,0.00440363,-0.0128517,0.00284495
0.00308228,0.00431464,-0.0128307,0.00264696
0.00311279,0.00331557,-0.0124922,0.0025197
0.00314331,0.00344529,-0.0126081,0.00255781
0.00317383,0.00389569,-0.0134375,0.00225731
0.00320435,0.00478411,-0.0134996,0.00212387
0.00323486,0.00495208,-0.0136174,0.00237923
0.00326538,0.00484343,-0.0134084,0.0023021
0.0032959,0.00467845,-0.0135083,0.00210539
0.00332642,0.00506311,-0.0143882,0.00232644
0.00335693,0.00513585,-0.0146515,0.002969
0.00338745,0.00520068,-0.0144878,0.00320091
0.00341797,0.00588766,-0.0151122,0.00289612
0.00344849,0.00642343,-0.0153652,0.00393547
0.003479,0.00616411,-0.0149704,0.00455949
0.00350952,0.00632295,-0.0145814,0.00409485
0.00354004,0.00713524,-0.0153145,0.00353936
0.00357056,0.00773939,-0.0147659,0.00397388
0.00360107,0.00721179,-0.0149538,0.00443322
0.00363159,0.00737433,-0.0151984,0.00477769
0.00366211,0.00679405,-0.0150108,0.00463719
0.00369263,0.00671778,-0.0149321,0.00476564
0.00372314,0.00707732,-0.0149825,0.00483435
0.00375366,0.00707173,-0.0150059,0.00518674
0.00378418,0.00693593,-0.015256,0.00483884
0.0038147,0.0072931,-0.0142544,0.0048205
0.00384521,0.00742177,-0.0145685,0.0040923
0.00387573,0.00817445,-0.0145957,0.00401635
0.00390625,0.00760095,-0.0149253,0.00314232
0.00393677,0.00782083,-0.0153151,0.00331279
0.00396729,0.0077359,-0.015121,0.00365831
0.0039978,0.00697886,-0.0149496,0.00319104
0.00402832,0.00681015,-0.0148165,0.00348955
0.00405884,0.0066533,-0.0147667,0.00330541
0.00408936,0.00645793,-0.0148364,0.00379722
0.00411987,0.00659592,-0.0147709,0.00368869
0.00415039,0.00661346,-0.014768,0.00367524
0.00418091,0.00650484,-0.0153821,0.00384717
0.00421143,0.00633313,-0.0153248,0.0037857
0.00424194,0.00589959,-0.01504,0.00413284
0.00427246,0.00614231,-0.0150223,0.00449083
0.00430298,0.00592559,-0.0155744,0.00422333
0.0043335,0.0054399,-0.0156497,0.00382096
0.00436401,0.00528436,-0.0150478,0.00420529
0.00439453,0.00560904,-0.0147667,0.00400681
0.00442505,0.00545198,-0.0144386,0.00388581
0.00445557,0.00497184,-0.0140263,0.00351853
0.00448608,0.00537669,-0.0141528,0.00348461
0.0045166,0.00586631,-0.0143511,0.0038594
0.00454712,0.00636774,-0.0141814,0.00400435
0.00457764,0.00679686,-0.0139684,0.00357881
0.00460815,0.0067005,-0.0135702,0.00354972
0.00463867,0.00664783,-0.0144386,0.00340897
0.00466919,0.00767511,-0.0138462,0.00329766
0.00469971,0.00742754,-0.0141877,0.00327591
0.00473022,0.0078552,-0.0140985,0.0027847
0.00476074,0.00734302,-0.0147117,0.00296017
0.00479126,0.00793738,-0.0149397,0.00295277
0.00482178,0.00782486,-0.0152656,0.00321207
0.00485229,0.00772253,-0.0153203,0.00325009
0.00488281,0.00752177,-0.0153386,0.00392209
0.00491333,0.00747068,-0.0156369,0.00370274
0.00494385,0.0074563,-0.016041,0.00384836
0.00497437,0.0077203,-0.0155033,0.00405207
0.00500488,0.00787779,-0.014529,0.00408857
0.0050354,0.00709608,-0.0145413,0.00371741
0.00506592,0.00675359,-0.0146595,0.00345689
0.00509644,0.00736557,-0.0147809,0.0027632
0.00512695,0.00787103,-0.0151334,0.00293723
0.00515747,0.00813748,-0.0159317,0.00343027
0.00518799,0.00817134,-0.0158136,0.00333207
0.00521851,0.00768689,-0.0163408,0.00356305
0.00524902,0.00812416,-0.0163612,0.00414421
0.00527954,0.00753696,-0.0164143,0.00366521
0.00531006,0.00745952,-0.0160531,0.00354963
0.00534058,0.00698594,-0.0158907,0.00390514
0.00537109,0.00692912,-0.0151562,0.00392984
0.00540161,0.00610883,-0.0153238,0.00398993
0.00543213,0.00586396,-0.0155853,0.00351625
0.00546265,0.00567639,-0.0153836,0.00311678
0.00549316,0.00539435,-0.0149693,0.00365197
0.00552368,0.00526168,-0.0150917,0.00442512
0.0055542,0.00534285,-0.0151579,0.00446332
0.00558472,0.00581722,-0.0153143,0.00492509
0.00561523,0.00634821,-0.016002,0.00463412
0.00564575,0.00683435,-0.0165767,0.0046909
0.00567627,0.00678633,-0.0160907,0.0047612
0.00570679,0.00614089,-0.0156685,0.00447551
0.0057373,0.00656173,-0.0158033,0.00409687
0.00576782,0.00648848,-0.0157348,0.00446886
0.00579834,0.00585521,-0.0150404,0.00465621
0.00582886,0.00537742,-0.0147596,0.0048303
0.00585938,0.00552877,-0.0145494,0.00408466
0.00588989,0.0054313,-0.0144399,0.00455326
0.00592041,0.00526288,-0.0147737,0.00466139
0.00595093,0.00521536,-0.0141608,0.00418279
0.00598145,0.00472221,-0.0135913,0.00480891
0.00601196,0.00445644,-0.0134637,0.00516219
0.00604248,0.00414706,-0.0140895,0.00512859
0.006073,0.0049487,-0.0148306,0.00583116
0.00610352,0.00499315,-0.0147307,0.00631297
0.00613403,0.00510671,-0.0151881,0.00610755
0.00616455,0.00606549,-0.0148473,0.00606146
0.00619507,0.00612839,-0.0143406,0.00640926
0.00622559,0.00699345,-0.0144874,0.00603595
0.0062561,0.00716661,-0.0150224,0.00630491
0.00628662,0.00668306,-0.015747,0.00560213
0.00631714,0.00686376,-0.0151013,0.00517312
0.00634766,0.00685386,-0.0153386,0.00509819
0.00637817,0.00715525,-0.0149734,0.00472339
0.00640869,0.00656942,-0.0153904,0.00502446
0.00643921,0.00766224,-0.0157009,0.0047914
0.00646973,0.00796912,-0.0155231,0.00500472
0.00650024,0.00774405,-0.0158443,0.00509592
0.00653076,0.00800971,-0.0155861,0.00426154
0.00656128,0.00769817,-0.0155866,0.00546362
0.0065918,0.00796874,-0.0159309,0.00566441
0.00662231,0.00832495,-0.0156567,0.00527073
0.00665283,0.0083357,-0.0155428,0.00555423
0.00668335,0.00845756,-0.0155912,0.00514215
0.00671387,0.00841828,-0.0158832,0.00479747
0.00674438,0.00877988,-0.0160781,0.00453812
0.0067749,0.00889685,-0.0160604,0.00419179
0.00680542,0.0086618,-0.0160013,0.00464228
0.00683594,0.00864032,-0.0161311,0.00424501
0.00686646,0.00886236,-0.0163092,0.00455824
0.00689697,0.0088946,-0.0163343,0.00511917
0.00692749,0.00899863,-0.0167551,0.00581452
0.00695801,0.0092564,-0.0173311,0.00568253
0.00698853,0.00961327,-0.0172846,0.00560321
0.00701904,0.00981424,-0.0172798,0.00560296
0.00704956,0.00971384,-0.0176607,0.00580921
0.00708008,0.00957159,-0.0180047,0.00634244
0.0071106,0.00984906,-0.0170735,0.00661983
0.00714111,0.0101636,-0.0171288,0.00602649
0.00717163,0.0105635,-0.017258,0.00556453
0.00720215,0.00997262,-0.0166019,0.00512724
0.00723267,0.00990046,-0.0160611,0.00539425
0.00726318,0.0106169,-0.0150448,0.0054509
0.0072937,0.0105243,-0.0155752,0.00572431
0.00732422,0.0109093,-0.0157206,0.00614682
0.00735474,0.0112181,-0.0156439,0.00676308
0.00738525,0.0119135,-0.016549,0.00644485
0.00741577,0.0117828,-0.0159017,0.0065637
0.00744629,0.0106661,-0.0163196,0.00666917
0.00747681,0.0107409,-0.0155673,0.00703229
0.00750732,0.00974614,-0.0160541,0.00676242
0.00753784,0.0104414,-0.0159968,0.00752405
0.00756836,0.00989269,-0.0159997,0.00728421
0.00759888,0.0102697,-0.0157804,0.00751862
0.00762939,0.0105861,-0.0153905,0.00774409
0.00765991,0.0107408,-0.0157571,0.00690566
0.00769043,0.0110668,-0.0151921,0.00665752
0.00772095,0.0112296,-0.0148324,0.00557965
0.00775146,0.0123278,-0.0157208,0.00546671
0.00778198,0.0133777,-0.015213,0.0051546
0.0078125,0.0131747,-0.015425,0.00498688
0.00784302,0.0133313,-0.016321,0.00501877
0.00787354,0.0127653,-0.0169342,0.00464229
0.00790405,0.0128342,-0.0171248,0.00472898
0.00793457,0.013187,-0.0173897,0.0044057
0.00796509,0.0126975,-0.018152,0.00389549
0.00799561,0.0121336,-0.0185148,0.00351962
0.00802612,0.0119374,-0.019683,0.00357971
0.00805664,0.0121422,-0.0200153,0.00360533
0.00808716,0.0118822,-0.020194,0.00227072
0.00811768,0.0124613,-0.0190214,0.00221509
0.00814819,0.0117534,-0.0191476,0.00282031
0.00817871,0.0124021,-0.0195421,0.0021423
0.00820923,0.0128154,-0.0190876,0.00136161
0.00823975,0.0129594,-0.0191578,0.00117989
0.00827026,0.0127384,-0.0195992,0.00151861
0.00830078,0.0119908,-0.0192562,0.0015175
0.0083313,0.0113165,-0.0192974,0.00182771
0.00836182,0.0114295,-0.0197878,0.00295235
0.00839233,0.0111311,-0.0196836,0.00144333
0.00842285,0.010382,-0.0189077,0.000517796
0.00845337,0.00923973,-0.0187014,0.00123482
0.00848389,0.0087716,-0.0190755,0.000811325
0.0085144,0.00896864,-0.0186887,0.00058129
0.00854492,0.00858309,-0.019155,0.000603692
0.00857544,0.00932717,-0.019591,-0.000444301
0.00860596,0.00921507,-0.0200861,-0.000159817
0.00863647,0.00960523,-0.0204812,-0.000491136
0.00866699,0.00993607,-0.0202645,-0.00060971
0.00869751,0.0096267,-0.0202715,-0.000333024
0.00872803,0.00993132,-0.0206656,-0.000210099
0.00875854,0.0105022,-0.0209128,0.000182785
0.00878906,0.0106846,-0.02041,-0.000620439
0.00881958,0.0100227,-0.0208562,-0.00113371
0.0088501,0.0101135,-0.0201045,-0.00144595
0.00888062,0.00955743,-0.0200347,-0.00177056
0.00891113,0.0102036,-0.0203311,-0.00252916
0.00894165,0.0106454,-0.0206378,-0.00242831
0.00897217,0.0107198,-0.0216812,-0.00301144
0.00900269,0.0110795,-0.0225856,-0.00209088
0.0090332,0.0107001,-0.022614,-0.00208138
0.00906372,0.0102825,-0.0230649,-0.00180048
0.00909424,0.0107439,-0.0229925,-0.00202015
0.00912476,0.0107133,-0.0231512,-0.00270889
0.00915527,0.0112076,-0.0236712,-0.00251435
0.00918579,0.0109929,-0.0239558,-0.0027471
0.00921631,0.0104156,-0.0239605,-0.00336399
0.00924683,0.00972805,-0.0232954,-0.00314654
0.00927734,0.00932131,-0.0228695,-0.00367741
0.00930786,0.00882517,-0.0224956,-0.00219942
0.00933838,0.00808904,-0.0220566,-0.00275954
0.0093689,0.008135,-0.021149,-0.00336088
0.00939941,0.00824629,-0.0217807,-0.00240705
0.00942993,0.00935562,-0.02217,-0.00264144
