time,X_1D,X_2D,Y_2D
1,1,1,0
2,2,1,1
3,1,0,1
4,2,-1,1
5,1,0,1
6,0,0,0
7,-1,0,1
8,-2,0,2
9,-3,0,3
10,-2,-1,3
11,-1,-1,2
12,-2,0,2
13,-3,0,3
14,-2,0,4
15,-1,0,3
16,0,-1,3
17,-1,-2,3
18,0,-2,2
19,-1,-1,2
20,0,-2,2
21,1,-1,2
22,0,-2,2
23,-1,-2,3
24,-2,-3,3
25,-1,-3,2
26,0,-2,2
27,1,-2,1
28,2,-3,1
29,1,-3,0
30,2,-3,1
31,1,-2,1
32,2,-3,1
33,1,-4,1
34,0,-5,1
35,1,-4,1
36,2,-4,2
37,1,-4,3
38,0,-5,3
39,-1,-4,3
40,0,-3,3
41,1,-3,4
42,2,-3,5
43,3,-3,6
44,2,-2,6
45,1,-2,5
46,2,-3,5
47,1,-3,6
48,2,-4,6
49,1,-5,6
50,2,-6,6
51,1,-7,6
52,0,-6,6
53,1,-6,7
54,0,-5,7
55,-1,-5,8
56,-2,-4,8
57,-1,-4,9
58,-2,-4,8
59,-1,-4,9
60,0,-4,10
61,-1,-4,11
62,-2,-4,10
63,-3,-4,11
64,-4,-5,11
65,-5,-4,11
66,-4,-4,10
67,-3,-4,9
68,-4,-5,9
69,-5,-6,9
70,-6,-5,9
71,-7,-5,8
72,-8,-4,8
73,-9,-5,8
74,-10,-5,9
75,-11,-5,10
76,-10,-4,10
77,-11,-5,10
78,-12,-5,9
79,-13,-5,10
80,-14,-5,11
81,-13,-5,10
82,-12,-4,10
83,-11,-3,10
84,-12,-3,9
85,-11,-3,10
86,-10,-3,11
87,-9,-3,12
88,-8,-2,12
89,-9,-1,12
90,-8,-2,12
91,-9,-2,13
92,-10,-1,13
93,-11,-1,14
94,-10,-1,15
95,-9,-1,16
96,-10,0,16
97,-9,0,17
98,-8,0,18
99,-9,0,17
100,-8,1,17
101,-9,2,17
102,-8,2,16
103,-9,2,17
104,-8,3,17
105,-7,3,18
106,-6,4,18
107,-5,3,18
108,-4,3,17
109,-5,4,17
110,-6,5,17
111,-7,5,16
112,-8,4,16
113,-7,5,16
114,-8,4,16
115,-9,4,15
116,-10,4,14
117,-11,5,14
118,-10,5,15
119,-11,4,15
120,-10,3,15
121,-11,3,14
122,-12,2,14
123,-11,2,15
124,-12,1,15
125,-13,2,15
126,-14,3,15
127,-13,4,15
128,-14,5,15
129,-15,4,15
130,-14,3,15
131,-15,4,15
132,-16,4,16
133,-17,5,16
134,-18,5,15
135,-19,4,15
136,-20,3,15
137,-21,4,15
138,-20,4,16
139,-21,4,17
140,-20,5,17
141,-21,5,16
142,-20,6,16
143,-21,7,16
144,-22,7,17
145,-23,7,18
146,-22,7,19
147,-21,7,18
148,-20,7,17
149,-19,6,17
150,-18,5,17
151,-17,4,17
152,-16,4,16
153,-15,4,17
154,-16,4,16
155,-17,4,17
156,-18,4,16
157,-19,4,15
158,-18,5,15
159,-17,5,14
160,-16,4,14
161,-17,4,15
162,-16,5,15
163,-15,5,16
164,-16,4,16
165,-17,4,17
166,-18,4,16
167,-17,3,16
168,-16,3,17
169,-17,4,17
170,-18,3,17
171,-17,3,16
172,-16,4,16
173,-17,4,15
174,-18,4,16
175,-19,4,15
176,-18,5,15
177,-17,4,15
178,-18,4,16
179,-17,3,16
180,-18,3,15
181,-17,3,14
182,-18,3,15
183,-19,3,14
184,-20,4,14
185,-19,5,14
186,-18,6,14
187,-19,7,14
188,-20,6,14
189,-19,6,15
190,-20,6,16
191,-19,5,16
192,-18,4,16
193,-19,4,17
194,-18,3,17
195,-17,2,17
196,-18,1,17
197,-19,1,18
198,-20,0,18
199,-19,1,18
200,-18,1,19
201,-19,2,19
202,-18,2,18
203,-17,1,18
204,-16,2,18
205,-15,3,18
206,-14,3,17
207,-13,2,17
208,-14,3,17
209,-15,4,17
210,-14,4,16
211,-15,4,17
212,-16,3,17
213,-17,3,18
214,-16,3,19
215,-15,2,19
216,-16,3,19
217,-15,4,19
218,-16,5,19
219,-17,5,18
220,-16,5,17
221,-15,6,17
222,-14,6,18
223,-15,7,18
224,-14,6,18
225,-15,7,18
226,-16,6,18
227,-17,7,18
228,-18,7,19
229,-19,7,18
230,-18,7,17
231,-19,8,17
232,-18,8,16
233,-19,8,15
234,-20,7,15
235,-19,7,14
236,-18,7,15
237,-17,6,15
238,-18,6,14
239,-19,7,14
240,-18,6,14
241,-19,7,14
242,-18,7,13
243,-17,6,13
244,-18,5,13
245,-17,5,12
246,-18,5,11
247,-17,4,11
248,-16,4,10
249,-17,3,10
250,-18,3,11
251,-17,3,10
252,-16,2,10
